,IdEstablecimiento,MS,Inscritos_suma_fonasa
541,114332,IIIa,3824.0
542,114333,IIIa,1341.0
543,114334,IIIa,3310.0
544,114401,IIIa,141.0
545,114403,IIIa,6.0
546,114406,IIIa,28.0
547,114407,IIIa,116.0
548,114408,IIIa,1.0
549,114410,IIIa,21.0
550,114706,IIIa,6.0
551,114714,IIIa,437.0
552,114796,IIIa,22.0
553,200037,IIIa,4.0
554,200080,IIIa,3.0
555,200210,IIIa,534.0
556,200236,IIIa,6.0
557,200265,IIIa,3.0
558,200282,IIIa,2.0
559,200304,IIIa,216.0
560,200337,IIIa,578.0
561,200342,IIIa,2.0
562,200346,IIIa,54.0
563,200347,IIIa,214.0
564,200360,IIIa,394.0
565,200361,IIIa,1093.0
566,200365,IIIa,133.0
567,200377,IIIa,687.0
568,200385,IIIa,132.0
569,200454,IIIa,324.0
570,200554,IIIa,55.0
571,200961,IIIa,589.0
572,200962,IIIa,186.0
573,200965,IIIa,2345.0
574,201091,IIIa,2288.0
575,201112,IIIa,3299.0
576,109300,IIIb,975.0
577,109301,IIIb,476.0
578,109302,IIIb,261.0
579,109303,IIIb,286.0
580,109304,IIIb,91.0
581,109305,IIIb,367.0
582,109307,IIIb,181.0
583,109308,IIIb,231.0
584,109309,IIIb,256.0
585,109310,IIIb,971.0
586,109311,IIIb,678.0
587,109312,IIIb,236.0
588,109313,IIIb,573.0
589,109314,IIIb,250.0
590,109315,IIIb,449.0
591,109316,IIIb,714.0
592,109317,IIIb,141.0
593,109320,IIIb,107.0
594,109321,IIIb,378.0
595,109323,IIIb,273.0
596,109324,IIIb,648.0
597,109390,IIIb,268.0
598,109407,IIIb,117.0
599,109410,IIIb,3.0
600,109412,IIIb,7.0
601,109413,IIIb,8.0
602,109414,IIIb,37.0
603,109417,IIIb,1.0
604,109418,IIIb,2.0
605,109419,IIIb,1.0
606,109420,IIIb,2.0
607,109709,IIIb,41.0
608,109711,IIIb,116.0
609,109712,IIIb,113.0
610,109713,IIIb,29.0
611,109715,IIIb,58.0
612,109716,IIIb,39.0
613,109718,IIIb,92.0
614,110160,IIIb,80.0
615,110308,IIIb,521.0
616,110310,IIIb,177.0
617,110315,IIIb,434.0
618,110316,IIIb,350.0
619,110320,IIIb,525.0
620,110325,IIIb,374.0
621,110330,IIIb,369.0
622,110331,IIIb,310.0
623,110335,IIIb,370.0
624,110340,IIIb,366.0
625,110345,IIIb,330.0
626,110350,IIIb,669.0
627,110351,IIIb,490.0
628,110352,IIIb,388.0
629,110353,IIIb,303.0
630,110354,IIIb,539.0
631,110355,IIIb,363.0
632,110360,IIIb,664.0
633,110361,IIIb,614.0
634,110362,IIIb,365.0
635,110364,IIIb,223.0
636,110366,IIIb,597.0
637,110369,IIIb,499.0
638,110370,IIIb,239.0
639,110375,IIIb,150.0
640,110378,IIIb,147.0
641,110379,IIIb,294.0
642,110380,IIIb,128.0
643,110381,IIIb,90.0
644,110385,IIIb,127.0
645,110387,IIIb,123.0
646,110390,IIIb,296.0
647,110393,IIIb,68.0
648,110400,IIIb,12.0
649,110410,IIIb,2.0
650,110425,IIIb,158.0
651,110430,IIIb,22.0
652,110431,IIIb,27.0
653,110432,IIIb,11.0
654,110440,IIIb,96.0
655,110445,IIIb,45.0
656,110455,IIIb,30.0
657,110465,IIIb,10.0
658,110470,IIIb,9.0
659,110475,IIIb,35.0
660,110477,IIIb,18.0
661,110485,IIIb,29.0
662,110490,IIIb,9.0
663,110492,IIIb,11.0
664,110495,IIIb,30.0
665,110503,IIIb,13.0
666,110505,IIIb,2.0
667,110510,IIIb,2.0
668,110750,IIIb,5.0
669,110752,IIIb,1.0
670,110756,IIIb,3.0
671,110758,IIIb,2.0
672,110760,IIIb,44.0
673,110775,IIIb,37.0
674,110778,IIIb,81.0
675,110781,IIIb,52.0
676,110783,IIIb,20.0
677,111300,IIIb,374.0
678,111301,IIIb,86.0
679,111302,IIIb,129.0
680,111303,IIIb,210.0
681,111304,IIIb,123.0
682,111305,IIIb,146.0
683,111306,IIIb,155.0
684,111307,IIIb,88.0
685,111308,IIIb,26.0
686,111309,IIIb,81.0
687,111310,IIIb,901.0
688,111351,IIIb,3.0
689,111370,IIIb,580.0
690,111372,IIIb,238.0
691,111376,IIIb,443.0
692,111378,IIIb,222.0
693,111379,IIIb,291.0
694,111380,IIIb,413.0
695,111381,IIIb,1103.0
696,111382,IIIb,318.0
697,111383,IIIb,238.0
698,111704,IIIb,6.0
699,111782,IIIb,13.0
700,111783,IIIb,26.0
701,111784,IIIb,24.0
702,112301,IIIb,159.0
703,112302,IIIb,98.0
704,112303,IIIb,116.0
705,112304,IIIb,106.0
706,112306,IIIb,386.0
707,112307,IIIb,261.0
708,112309,IIIb,82.0
709,112310,IIIb,311.0
710,112311,IIIb,296.0
711,112312,IIIb,458.0
712,112313,IIIb,499.0
713,112314,IIIb,360.0
714,112315,IIIb,219.0
715,112316,IIIb,424.0
716,112317,IIIb,96.0
717,112318,IIIb,373.0
718,112319,IIIb,394.0
719,112320,IIIb,153.0
720,112321,IIIb,265.0
721,112322,IIIb,315.0
722,112707,IIIb,134.0
723,112716,IIIb,2.0
724,112717,IIIb,25.0
725,113300,IIIb,489.0
726,113301,IIIb,176.0
727,113302,IIIb,454.0
728,113303,IIIb,354.0
729,113304,IIIb,26.0
730,113305,IIIb,186.0
731,113306,IIIb,247.0
732,113307,IIIb,234.0
733,113308,IIIb,291.0
734,113309,IIIb,196.0
735,113310,IIIb,240.0
736,113311,IIIb,453.0
737,113312,IIIb,458.0
738,113313,IIIb,357.0
739,113314,IIIb,348.0
740,113315,IIIb,417.0
741,113316,IIIb,389.0
742,113317,IIIb,357.0
743,113318,IIIb,514.0
744,113319,IIIb,164.0
745,113320,IIIb,221.0
746,113321,IIIb,86.0
747,113322,IIIb,245.0
748,113323,IIIb,389.0
749,113324,IIIb,366.0
750,113326,IIIb,383.0
751,113328,IIIb,423.0
752,113329,IIIb,295.0
753,113330,IIIb,490.0
754,113331,IIIb,256.0
755,113332,IIIb,371.0
756,113333,IIIb,142.0
757,113334,IIIb,107.0
758,113390,IIIb,530.0
759,113394,IIIb,374.0
760,113396,IIIb,218.0
761,113402,IIIb,71.0
762,113404,IIIb,48.0
763,113405,IIIb,53.0
764,113406,IIIb,18.0
765,113407,IIIb,37.0
766,113408,IIIb,30.0
767,113409,IIIb,101.0
768,113410,IIIb,14.0
769,113411,IIIb,32.0
770,113412,IIIb,25.0
771,113413,IIIb,1.0
772,113701,IIIb,93.0
773,113702,IIIb,35.0
774,113703,IIIb,53.0
775,113713,IIIb,46.0
776,113716,IIIb,92.0
777,113717,IIIb,64.0
778,113722,IIIb,55.0
779,113728,IIIb,88.0
780,113753,IIIb,21.0
781,113790,IIIb,112.0
782,114301,IIIb,926.0
783,114302,IIIb,309.0
784,114303,IIIb,385.0
785,114304,IIIb,349.0
786,114305,IIIb,622.0
787,114306,IIIb,252.0
788,114307,IIIb,287.0
789,114308,IIIb,301.0
790,114309,IIIb,336.0
791,114310,IIIb,118.0
792,114311,IIIb,320.0
793,114312,IIIb,548.0
794,114313,IIIb,341.0
795,114314,IIIb,275.0
796,114315,IIIb,133.0
797,114316,IIIb,394.0
798,114317,IIIb,332.0
799,114318,IIIb,93.0
800,114319,IIIb,321.0
801,114320,IIIb,522.0
802,114321,IIIb,429.0
803,114322,IIIb,703.0
804,114323,IIIb,235.0
805,114324,IIIb,455.0
806,114325,IIIb,398.0
807,114326,IIIb,491.0
808,114327,IIIb,240.0
809,114328,IIIb,296.0
810,114329,IIIb,226.0
811,114330,IIIb,344.0
812,114331,IIIb,391.0
813,114332,IIIb,367.0
814,114333,IIIb,133.0
815,114334,IIIb,348.0
816,114401,IIIb,11.0
817,114406,IIIb,2.0
818,114407,IIIb,12.0
819,114706,IIIb,1.0
820,114714,IIIb,36.0
821,114796,IIIb,1.0
822,200210,IIIb,60.0
823,200236,IIIb,1.0
824,200304,IIIb,29.0
825,200337,IIIb,57.0
826,200346,IIIb,9.0
827,200347,IIIb,22.0
828,200360,IIIb,33.0
829,200361,IIIb,123.0
830,200365,IIIb,17.0
831,200377,IIIb,87.0
832,200385,IIIb,11.0
833,200454,IIIb,29.0
834,200554,IIIb,4.0
835,200961,IIIb,70.0
836,200962,IIIb,18.0
837,200965,IIIb,213.0
838,201091,IIIb,210.0
839,201112,IIIb,343.0
840,109300,IVa,6324.138
841,109301,IVa,4274.064
842,109302,IVa,3481.056
843,109303,IVa,3332.598
844,109304,IVa,1219.26
845,109305,IVa,2942.079
846,109307,IVa,2867.112
847,109308,IVa,3306.87
848,109309,IVa,3349.395
849,109310,IVa,6184.812
850,109311,IVa,3733.737
851,109312,IVa,1492.239
852,109313,IVa,3813.987
853,109314,IVa,3185.772
854,109315,IVa,4496.781
855,109316,IVa,4927.539
856,109317,IVa,1360.713
857,109320,IVa,1301.745
858,109321,IVa,3017.037
859,109323,IVa,1935.1589999999999
860,109324,IVa,4869.675
861,109390,IVa,2925.2309999999998
862,109407,IVa,923.256
863,109410,IVa,61.002
864,109412,IVa,53.693999999999996
865,109413,IVa,52.824
866,109414,IVa,153.993
867,109416,IVa,2.301
868,109417,IVa,5.535
869,109418,IVa,7.1129999999999995
870,109419,IVa,7.023
871,109420,IVa,4.647
872,109709,IVa,212.619
873,109711,IVa,454.257
874,109712,IVa,554.664
875,109713,IVa,232.272
876,109715,IVa,293.241
877,109716,IVa,81.039
878,109718,IVa,941.2769999999999
879,110160,IVa,2306.43
880,110300,IVa,0.735
881,110308,IVa,4454.952
882,110310,IVa,2833.2
883,110315,IVa,4158.552
884,110316,IVa,3427.275
885,110320,IVa,4338.927
886,110325,IVa,3786.048
887,110330,IVa,4201.731
888,110331,IVa,2292.078
889,110335,IVa,3548.034
890,110340,IVa,4439.361
891,110345,IVa,3287.64
892,110350,IVa,6727.065
893,110351,IVa,4265.217
894,110352,IVa,3822.33
895,110353,IVa,2513.895
896,110354,IVa,5460.798
897,110355,IVa,3809.238
