IdEstablecimiento,Ano,Mes,Numerador,Denominador,MetaSanitaria
110355,2024.0,3.0,1.0,3.0,MSI
110355,2024.0,4.0,1.0,7.0,MSI
110355,2024.0,5.0,2.0,3.0,MSI
110355,2024.0,6.0,1.0,2.0,MSI
110355,2024.0,7.0,2.0,7.0,MSI
110355,2024.0,8.0,8.0,8.0,MSI
110355,2024.0,9.0,5.0,1.0,MSI
110355,2024.0,10.0,3.0,2.0,MSI
110355,2024.0,11.0,4.0,9.0,MSI
110360,2024.0,1.0,4.0,5.0,MSI
110360,2024.0,2.0,2.0,4.0,MSI
110360,2024.0,3.0,3.0,9.0,MSI
110360,2024.0,4.0,2.0,1.0,MSI
110360,2024.0,5.0,4.0,3.0,MSI
110360,2024.0,6.0,7.0,1.0,MSI
110360,2024.0,7.0,1.0,3.0,MSI
110360,2024.0,8.0,1.0,4.0,MSI
110360,2024.0,9.0,0.0,2.0,MSI
110360,2024.0,10.0,2.0,,MSI
110360,2024.0,11.0,,2.0,MSI
110361,2024.0,1.0,1.0,3.0,MSI
110361,2024.0,2.0,1.0,4.0,MSI
110361,2024.0,3.0,3.0,7.0,MSI
110361,2024.0,4.0,3.0,2.0,MSI
110361,2024.0,5.0,,4.0,MSI
110361,2024.0,6.0,2.0,3.0,MSI
110361,2024.0,7.0,9.0,3.0,MSI
110361,2024.0,8.0,4.0,3.0,MSI
110361,2024.0,9.0,3.0,5.0,MSI
110361,2024.0,10.0,3.0,0.0,MSI
110361,2024.0,11.0,2.0,0.0,MSI
110362,2024.0,1.0,2.0,1.0,MSI
110362,2024.0,2.0,,0.0,MSI
110362,2024.0,3.0,,1.0,MSI
110362,2024.0,4.0,1.0,2.0,MSI
110362,2024.0,5.0,0.0,1.0,MSI
110362,2024.0,6.0,,1.0,MSI
110362,2024.0,7.0,2.0,4.0,MSI
110362,2024.0,8.0,1.0,2.0,MSI
110362,2024.0,9.0,1.0,1.0,MSI
110362,2024.0,10.0,2.0,1.0,MSI
110362,2024.0,11.0,2.0,,MSI
110364,2024.0,1.0,,1.0,MSI
110364,2024.0,2.0,,1.0,MSI
110364,2024.0,3.0,0.0,1.0,MSI
110364,2024.0,4.0,1.0,1.0,MSI
110364,2024.0,5.0,1.0,0.0,MSI
110364,2024.0,6.0,1.0,0.0,MSI
110364,2024.0,7.0,,3.0,MSI
110364,2024.0,8.0,0.0,0.0,MSI
110364,2024.0,9.0,1.0,,MSI
110364,2024.0,10.0,2.0,2.0,MSI
110364,2024.0,11.0,,1.0,MSI
110366,2024.0,1.0,6.0,6.0,MSI
110366,2024.0,2.0,1.0,5.0,MSI
110366,2024.0,3.0,6.0,5.0,MSI
110366,2024.0,4.0,2.0,3.0,MSI
110366,2024.0,5.0,2.0,4.0,MSI
110366,2024.0,6.0,4.0,10.0,MSI
110366,2024.0,7.0,2.0,10.0,MSI
110366,2024.0,8.0,3.0,10.0,MSI
110366,2024.0,9.0,0.0,6.0,MSI
110366,2024.0,10.0,11.0,13.0,MSI
110366,2024.0,11.0,9.0,6.0,MSI
110369,2024.0,1.0,0.0,2.0,MSI
110369,2024.0,2.0,,1.0,MSI
110369,2024.0,3.0,3.0,3.0,MSI
110369,2024.0,4.0,4.0,5.0,MSI
110369,2024.0,5.0,5.0,1.0,MSI
110369,2024.0,6.0,1.0,2.0,MSI
